Brand,Size,Flavor,Rating,Price,CALORIES,TOTAL FAT,CHOLESTEROL,SODIUM,TOTAL CARBOHYDRATE,PROTEIN,CALCIUM,POTASSIUM,DIETARY FIBER,IRON,TOTAL SUGARS,VITAMIN D,VITAMIN D 0MCG,PHOSPHORUS,MAGNESIUM,VITAMIN C (AS ASCORBIC ACID),VITAMIN D (AS CHOLECALCIFEROL),NIACIN (AS NIACINAMIDE),VITAMIN B6 (AS PYRIDOXINE HYDROCHLORIDE),VITAMIN B12 (AS CYANOCOBALAMIN),NIACIN,BIOTIN,FOLATE
ONE,12 - 60g Bars,Lemon Cake,9.4,$28.99,210,7 g,5 mg,140 mg,22 g,20 g,98 mg,85 mg,0,0 mg,0,0 mcg,0,59 mg,0,0,0,0,0,0,0,0,0
ONE,12 - 60g Bars,Maple Glazed Doughnut,9.4,$28.99,220,8 g,5 mg,140 mg,24 g,20 g,95 mg,87 mg,0,0 mg,0,0 mcg,0,57 mg,0,0,0,0,0,0,0,0,0
ONE,12 - 60g Bars,Peanut Butter Chocolate Cake,9.4,$28.99,230,9 g,5 mg,130 mg,24 g,20 g,80 mg,118 mg,0,0 mg,0,0 mcg,0,74 mg,0,0,0,0,0,0,0,0,0
ONE,12 - 60g Bars,Peanut Butter Pie,9.4,$28.99,220,8 g,5 mg,135 mg,23 g,20 g,74 mg,127 mg,0,0 mg,0,0 mcg,0,79 mg,0,0,0,0,0,0,0,0,0
ONE,12 - 60g Bars,Salted Caramel,9.4,$28.99,220,8 g,5 mg,180 mg,23 g,20 g,84 mg,82 mg,0,0 mg,0,0 mcg,0,59 mg,0,0,0,0,0,0,0,0,0
MET-Rx,9 Bars,Chocolate Chip Cookie Dough,8.0,$30.99,360,5 g,35 mg,160 mg,52 g,28 g,0,550 mg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MET-Rx,9 Bars,Chocolate Chocolate Chunk,9.2,$27.99,310,10 g,15 mg,120 mg,29 g,31 g,0,180 mg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MET-Rx,9 Bars,Chocolate Fudge Deluxe,9.2,$27.99,310,10 g,15 mg,115 mg,29 g,31 g,0,360 mg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MET-Rx,9 Bars,Peanut Butter Cup,9.2,$27.99,300,10 g,5 mg,370 mg,34 g,30 g,0,260 mg,2 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MET-Rx,9 Bars,Chocolate Roasted Peanut,9.2,$27.99,310,11 g,20 mg,190 mg,27 g,32 g,0,250 mg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MET-Rx,9 Bars,Creamy Peanut Butter Crisp,9.2,$27.99,300,10 g,0 mg,500 mg,33 g,29 g,0,140 mg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Performance Inspired Nutrition,12 x 60g Bars,Chocolate Wow,,$21.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Performance Inspired Nutrition,12 x 60g Bars,Peanut Butter Bliss,,$21.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Performance Inspired Nutrition,12 x 60g Bars,Salted Caramel Escape,,$21.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Performance Inspired Nutrition,12 x 60g Bars,Vanilla Almond Delight,,$21.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PEScience,12 Bars,White Chocolate Raspberry,9.9,$31.99,210,7 g,10 mg,150 mg,26 g,19 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orgain,12 Bars,Chocolate Almond Sea Salt,,$29.88,220,10 g,0 mg,65 mg,25 g,12 g,0,420 mg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orgain,12 Bars,Chocolate Peanut Butter,,$29.88,220,10 g,0 mg,0 mg,24 g,12 g,0,310 mg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OhYeah! Nutrition,12 - 85g Bars,Almond Fudge Brownie,9.1,$31.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OhYeah! Nutrition,12 - 85g Bars,Chocolate Carmel Candies,9.1,$35.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OhYeah! Nutrition,12 - 85g Bars,Chocolate & Caramel,9.1,$37.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OhYeah! Nutrition,12 - 85g Bars,Cookie Caramel Crunch,9.1,$37.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OhYeah! Nutrition,12 - 85g Bars,Peanut Butter & Caramel,9.1,$37.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OhYeah! Nutrition,12 - 85g Bars,Peanut Butter Crunch,9.1,$37.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WICKED Protein,12 - 46g Bars,Dark Chocolate Cayenne,10.0,$22.49,190,10 g,25 mg,120 mg,19 g,14 g,96 mg,175 mg,0,1 mg,0,0 mcg,0,0,0,0,0,0,0,0,0,0,0
WICKED Protein,12 - 46g Bars,Maple,10.0,$22.49,180,8 g,30 mg,95 mg,17 g,15 g,110 mg,104 mg,0,0 mg,0,0 mcg,0,0,0,0,0,0,0,0,0,0,0
WICKED Protein,12 - 46g Bars,Peanut Butter Chocolate,10.0,$22.49,190,9 g,25 mg,100 mg,16 g,15 g,101 mg,116 mg,0,0 mg,0,0 mcg,0,0,0,0,0,0,0,0,0,0,0
Convenient Nutrition,10 x 35g Bars,Cocoa Cream,9.0,$19.99,200,14 g,0 mg,150 mg,6 g,10 g,0,26 mg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Convenient Nutrition,10 x 35g Bars,Coffee Cream,9.0,$19.99,200,14 g,0 mg,150 mg,6 g,10 g,0,27 mg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Convenient Nutrition,10 x 35g Bars,Vanilla Cream,9.0,$19.99,200,14 g,0 mg,220 mg,8 g,9 g,0,14 mg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaged Muscle,20 Servings,Fruit Punch,10.0,$39.99,20,0,0,85 mg,3 g,0,0,0,0,0,0,0,0,0,0,0,0,30 mg,25 mg,0,0,0,0
JYM Supplement Science,20 Servings,Cherry Limeade,9.1,$37.99,70,0,0,240 mg,2 g,0,52 mg,61 mg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JYM Supplement Science,20 Servings,Grape Candy,9.1,$37.99,70,0,0,100 mg,1 g,0,49 mg,36 mg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Evlution Nutrition,30 Servings,Acai Berry,9.4,$21.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90 mg,0,0,0,0,0,0,0
Evlution Nutrition,30 Servings,Blue Raz,9.4,$21.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90 mg,0,0,0,0,0,0,0
Evlution Nutrition,30 Servings,Cherry Limeade,9.4,$21.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90 mg,0,0,0,0,0,0,0
Evlution Nutrition,30 Servings,Fruit Punch,9.4,$21.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90 mg,0,0,0,0,0,0,0
Evlution Nutrition,30 Servings,Furious Grape,9.4,$21.99,0,0,0,80 mg,0,0,0,0,0,0,0,0,0,0,0,90 mg,0,0,0,0,0,0,0
Evlution Nutrition,30 Servings,Green Apple,9.4,$21.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90 mg,0,0,0,0,0,0,0
Evlution Nutrition,30 Servings,Lemon Lime,9.4,$21.99,0,0,0,80 mg,0,0,0,0,0,0,0,0,0,0,0,90 mg,0,0,0,0,0,0,0
Kaged Muscle,20 Servings,Berry Blast,9.3,$39.99,15,0,0,75 mg,2 g,0,0,0,0,0,0,0,0,0,0,0,0,30 mg,25 mg,0,0,0,0
Kaged Muscle,20 Servings,Fruit Punch,9.3,$39.99,15,0,0,85 mg,3 g,0,0,0,0,0,0,0,0,0,0,0,0,30 mg,25 mg,0,0,0,0
Kaged Muscle,20 Servings,Krisp Apple,9.3,$39.99,15,0,0,75 mg,2 g,0,0,0,0,0,0,0,0,0,0,0,0,30 mg,25 mg,0,0,0,0
Kaged Muscle,20 Servings,Orange Krush,9.3,$39.99,10,0,0,5 mg,2 g,0,0,0,0,0,0,0,0,0,0,0,0,30 mg,25 mg,0,0,0,0
Kaged Muscle,20 Servings,Pink Lemonade,9.3,$39.99,15,0,0,40 mg,2 g,0,0,0,0,0,0,0,0,0,0,0,0,30 mg,25 mg,0,0,0,0
Alpha Lion,21 Servings,Hulk Juice,8.1,$32.24,0,0,0,100 mg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25 mg,0,0
Alpha Lion,21 Servings,Kandy Kryptonite,8.1,$32.24,0,0,0,100 mg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25 mg,0,0
Alpha Lion,21 Servings,Lemonardo Da Vinci,8.1,$32.24,0,0,0,100 mg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25 mg,0,0
Alpha Lion,21 Servings,Liberty Juice,8.1,$32.24,0,0,0,100 mg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25 mg,0,0
Alpha Lion,21 Servings,Orange Gainsicle,8.1,$32.24,0,0,0,100 mg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25 mg,0,0
Alpha Lion,21 Servings,Unicorn Juice,8.1,$32.24,0,0,0,100 mg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25 mg,0,0
GAT Sport,12 - 10 Fl. Oz. Bottles,Orange Ice,9.1,$34.99,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAT Sport,12 - 10 Fl. Oz. Bottles,Raspberry Ice,9.1,$34.99,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAT Sport,30 Servings,Black Cherry,9.1,$32.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAT Sport,30 Servings,Blue Raspberry,9.1,$32.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAT Sport,30 Servings,Fruit Punch,9.1,$32.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAT Sport,30 Servings,Grape,9.1,$32.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAT Sport,30 Servings,Green Apple,9.1,$32.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAT Sport,30 Servings,Orange,9.1,$32.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAT Sport,30 Servings,Peach Ice Tea,9.1,$32.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAT Sport,30 Servings,Peach Mango,9.1,$32.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAT Sport,30 Servings,Pina Colada,9.1,$32.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAT Sport,30 Servings,Pineapple,9.1,$32.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAT Sport,30 Servings,Pink Lemonade,9.1,$32.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
